system,family,seeds,n_seeds,n_test_manifest,cover_mean,cover_std,sys1_mean,sys1_std,sys3_mean,sys3_std,sys5_mean,sys5_std,sys10_mean,sys10_std,mrr_mean,mrr_std,ndcg10_mean,ndcg10_std,temp_mae_mean,temp_mae_std,temp_within_5c_mean,temp_within_5c_std,temp_within_10c_mean,temp_within_10c_std,temp_within_20c_mean,temp_within_20c_std
ProSys (Stage 2/3 fixed-Stage-1 robustness),Beckmann,"0,1,2",3,235,0.425531914893617,0.004255319148936176,0.13900709219858157,0.04932010964741479,0.20000000000000004,0.0332351050038581,0.23829787234042554,0.018548506142726257,0.28085106382978725,0.029787234042553203,0.1858024785415401,0.04060671614225293,0.19636469189000713,0.0375255582108025,11.028999798308407,1.3904478557195903,0.36766869875972247,0.08461547996588265,0.6511106439632822,0.07947917647859688,0.8803867984023545,0.02112754493883078
ProSys (Stage 2/3 fixed-Stage-1 robustness),Buchwald-HartwigCross-Coupling,"0,1,2",3,1099,0.592053381862299,0.002779845735490312,0.33363663936912347,0.0021013658569231006,0.451319381255687,0.003966241076925104,0.48498635122838946,0.004814834051072978,0.524416135881104,0.0018941455864114108,0.40295431212584026,0.00023483245886002564,0.42136193328040217,0.0013912779385243297,11.923144787485176,0.41055090691530977,0.34693523276326416,0.011008974341341076,0.5689307823484665,0.007424224540805726,0.8274268594485492,0.01006997794050718
ProSys (Stage 2/3 fixed-Stage-1 robustness),Chan_LamCoupling,"0,1,2",3,390,0.729059829059829,0.0014803853056144197,0.3735042735042735,0.05792450897387153,0.5068376068376068,0.05136745026091187,0.5606837606837608,0.036382558382551715,0.6162393162393162,0.01924500897298752,0.45675620893108143,0.049545126080525054,0.4801143825368623,0.04324883788621717,5.834519735455196,0.39226224207726335,0.6720517263867927,0.0273985675640909,0.8441407196228594,0.009392673916541704,0.9414025378724356,0.005618099200254095
ProSys (Stage 2/3 fixed-Stage-1 robustness),DielsAlder,"0,1,2",3,762,0.347331583552056,0.0007576775186215442,0.15835520559930008,0.01451501314351448,0.21434820647419073,0.008737963410077943,0.23359580052493437,0.006819097667594009,0.2646544181977253,0.0037883875931077845,0.19514899283631715,0.010620727925802358,0.2022702725211989,0.008463558046281952,18.5483070064145,1.0960567037569295,0.25801282051282054,0.05735746848773488,0.4326923076923077,0.03935265755707909,0.6698717948717948,0.04362390252825702
ProSys (Stage 2/3 fixed-Stage-1 robustness),Friedel-CraftsAcylation,"0,1,2",3,475,0.6484210526315789,0.0,0.24140350877192981,0.024581445457034366,0.35929824561403506,0.030459697423453606,0.40842105263157896,0.028323419046470958,0.4891228070175438,0.024671432745609744,0.32154834289901285,0.025592322998543315,0.3405906720366243,0.027829037693337163,10.85960564672211,0.022670454069284463,0.4382716049382716,0.013006979941793496,0.6604938271604938,0.016700925010455163,0.8530864197530864,0.0021383343303319185
ProSys (Stage 2/3 fixed-Stage-1 robustness),Friedel-CraftsAlkylation,"0,1,2",3,899,0.5131627734519837,0.0023155350383383404,0.26214312198739337,0.025784706934688487,0.375231738969225,0.01865739061981331,0.42083796811271784,0.015143179723145843,0.4508713385242862,0.012892353467344249,0.3295772485326028,0.021478909080994438,0.348662744089991,0.019437803307776065,10.775400504525217,0.515459419856837,0.4015215476323917,0.034413975140388776,0.6281068347895583,0.02064047228768552,0.8524628217769427,0.01138870690354299
